humidity,weathersit,holiday,season,atemp,temperature,hr,total,day,month,year
79,1,0,3,0.6667,0.7,17,505,9,9,2011
56,1,0,2,0.6212,0.66,11,228,14,6,2012
60,1,0,4,0.2576,0.26,19,373,6,12,2012
33,1,0,1,0.4394,0.44,21,114,18,2,2012
32,1,0,2,0.2121,0.24,3,3,29,3,2011
61,1,0,3,0.6515,0.7,1,10,11,7,2011
41,1,0,2,0.6212,0.62,15,199,9,5,2011
39,1,0,2,0.4848,0.5,10,128,5,5,2011
60,1,0,4,0.5455,0.58,18,453,14,10,2012
45,1,0,4,0.5152,0.54,13,686,11,11,2012
31,1,0,4,0.4848,0.5,13,291,11,10,2012
57,2,0,4,0.4394,0.44,13,267,20,11,2012
23,1,0,2,0.6061,0.6,21,298,4,4,2012
88,3,0,3,0.5455,0.58,5,17,21,7,2012
81,1,0,2,0.3485,0.34,5,16,6,5,2011
61,3,0,1,0.303,0.3,18,359,10,2,2012
37,1,0,2,0.6515,0.72,14,265,7,6,2012
65,1,0,3,0.6515,0.7,22,188,5,8,2011
35,1,0,2,0.4091,0.4,22,158,6,4,2012
35,1,0,1,0.4091,0.4,22,36,13,2,2011
25,1,0,2,0.6061,0.62,20,341,11,5,2012
56,2,0,1,0.2879,0.26,12,106,25,1,2011
70,1,0,3,0.6515,0.7,6,50,28,7,2012
83,3,0,3,0.6061,0.66,0,90,14,8,2011
94,1,0,2,0.5303,0.56,4,8,6,6,2011
88,1,0,4,0.4394,0.44,3,5,28,11,2011
78,1,1,2,0.5909,0.62,7,67,28,5,2012
45,1,0,3,0.6515,0.72,12,305,21,8,2012
88,2,0,4,0.5,0.52,7,421,26,10,2012
100,3,0,4,0.4394,0.44,12,173,10,12,2012
83,3,0,3,0.5606,0.6,12,457,21,7,2012
83,1,0,3,0.6364,0.68,23,98,6,7,2011
51,1,0,3,0.6667,0.74,14,189,12,9,2011
89,1,1,3,0.5909,0.66,4,11,3,9,2012
42,1,0,2,0.6515,0.72,14,456,21,5,2011
57,2,0,2,0.4242,0.42,6,126,4,4,2012
38,1,0,3,0.7273,0.82,13,191,10,8,2011
41,1,0,4,0.4242,0.42,19,493,12,10,2012
64,2,0,1,0.5303,0.56,11,87,28,2,2011
100,3,0,2,0.2576,0.26,23,27,31,3,2011
94,3,0,4,0.5,0.52,12,130,19,10,2011
63,1,0,1,0.4545,0.46,16,219,17,1,2012
55,1,0,2,0.1818,0.18,6,10,26,3,2011
88,3,0,3,0.5455,0.58,10,268,21,7,2012
57,1,0,3,0.6667,0.72,11,267,22,8,2012
70,1,0,2,0.697,0.74,22,159,31,5,2011
24,1,0,2,0.4394,0.44,5,32,9,4,2012
44,2,0,3,0.7879,0.86,15,563,1,9,2012
69,2,0,3,0.5909,0.6,4,6,15,9,2012
88,1,0,4,0.4242,0.42,7,277,28,11,2011
44,1,0,1,0.4394,0.44,13,445,7,1,2012
59,1,0,1,0.1364,0.14,20,81,24,1,2011
38,1,0,1,0.2576,0.26,16,86,6,1,2011
94,2,0,4,0.5,0.52,2,5,11,10,2011
88,2,0,4,0.4545,0.46,22,128,15,11,2011
44,1,0,3,0.6364,0.68,12,297,13,9,2012
42,1,1,3,0.8485,0.9,18,430,4,7,2012
88,1,0,2,0.5455,0.6,2,16,24,5,2012
39,1,0,1,0.5,0.52,13,218,23,2,2012
88,2,0,3,0.5606,0.62,5,15,9,7,2011
47,1,0,1,0.197,0.2,8,493,30,1,2012
28,1,0,2,0.4242,0.42,10,363,7,4,2012
50,1,0,4,0.4091,0.4,4,10,11,10,2012
87,3,0,4,0.2727,0.28,13,77,27,11,2012
55,1,0,1,0.197,0.2,6,33,16,2,2011
56,1,0,2,0.6212,0.6,19,456,28,3,2012
38,1,0,1,0.4545,0.46,12,194,13,3,2011
33,1,0,2,0.6212,0.64,22,155,2,6,2011
62,2,1,4,0.4091,0.4,11,308,8,10,2012
84,1,0,3,0.6667,0.7,1,13,5,9,2012
44,1,0,1,0.4394,0.44,19,188,18,2,2012
48,1,0,3,0.9242,0.92,16,210,21,7,2011
21,1,0,1,0.3333,0.36,16,322,29,1,2012
43,1,0,2,0.6212,0.62,11,226,6,6,2012
84,2,0,3,0.6667,0.7,2,66,7,8,2011
52,1,0,2,0.5,0.52,8,115,7,5,2011
82,2,0,2,0.4545,0.46,22,100,1,5,2011
52,1,0,3,0.7424,0.8,15,306,7,8,2012
62,1,0,1,0.4394,0.44,21,188,7,3,2012
57,1,0,2,0.6818,0.74,8,143,11,6,2011
51,1,0,4,0.4848,0.5,13,167,9,11,2011
24,1,0,2,0.4545,0.46,20,252,6,4,2012
59,1,0,1,0.2273,0.2,9,56,23,12,2012
74,1,0,2,0.6667,0.7,8,92,12,6,2011
63,1,0,3,0.8939,0.86,9,208,22,7,2011
39,1,0,4,0.5,0.52,19,590,24,9,2012
50,1,0,4,0.4091,0.4,16,413,15,12,2012
56,1,0,2,0.3333,0.36,9,287,12,4,2012
71,1,0,4,0.3485,0.36,7,233,21,10,2011
73,1,0,3,0.5909,0.62,6,21,17,7,2011
55,1,0,3,0.7576,0.8,14,632,14,7,2012
47,1,0,2,0.4091,0.4,6,123,30,4,2012
33,1,0,2,0.2879,0.3,18,137,27,3,2011
94,3,0,4,0.5303,0.56,17,181,19,10,2011
89,3,0,2,0.5758,0.64,3,1,20,6,2011
63,1,0,4,0.4545,0.46,2,67,1,10,2011
34,1,1,4,0.4848,0.5,16,114,24,11,2011
94,1,0,2,0.5303,0.56,6,97,17,6,2011
74,1,0,3,0.6212,0.66,6,94,5,7,2011
75,1,0,4,0.3182,0.28,0,75,6,11,2011
49,1,0,1,0.303,0.32,10,76,2,3,2011
60,1,0,4,0.5303,0.56,19,317,18,10,2011
39,1,0,2,0.6212,0.66,11,566,16,6,2012
28,1,0,1,0.4545,0.46,15,117,16,2,2011
88,1,0,3,0.5455,0.58,6,20,11,9,2011
54,1,0,3,0.6515,0.7,11,256,21,8,2012
74,1,0,3,0.6667,0.7,20,352,23,6,2011
55,2,0,3,0.4848,0.5,19,315,16,9,2011
100,3,0,4,0.4545,0.46,12,55,6,12,2011
88,1,0,2,0.4242,0.42,6,113,20,4,2012
52,1,0,3,0.5303,0.56,22,279,15,9,2012
27,1,0,3,0.6818,0.78,17,594,30,6,2011
73,1,0,3,0.5909,0.6,3,7,15,7,2011
76,2,0,4,0.4091,0.4,18,412,3,10,2011
88,2,0,4,0.5606,0.62,2,8,26,9,2011
94,3,0,4,0.5606,0.64,10,122,27,9,2011
21,1,0,1,0.303,0.32,13,82,15,2,2011
60,2,0,1,0.2879,0.24,8,57,26,2,2011
57,2,0,2,0.4091,0.4,22,70,22,3,2011
72,1,0,3,0.5,0.52,7,557,12,9,2012
78,2,0,2,0.5455,0.58,22,169,23,4,2011
62,1,0,1,0.4394,0.44,20,167,24,2,2012
61,2,0,1,0.3182,0.28,7,88,14,3,2011
68,1,0,4,0.5,0.52,12,268,3,12,2012
73,1,0,3,0.5909,0.6,5,23,15,7,2011
88,1,0,2,0.5152,0.54,20,191,15,5,2011
57,1,0,3,0.6667,0.72,9,226,5,8,2011
87,2,0,1,0.2727,0.22,20,83,18,1,2011
41,1,0,3,0.7424,0.82,14,349,10,7,2011
77,1,0,4,0.4242,0.42,2,14,25,9,2012
69,2,0,4,0.6061,0.64,20,457,27,9,2012
100,2,0,3,0.5303,0.56,9,208,21,9,2011
100,2,0,1,0.2424,0.26,22,68,23,1,2012
84,2,0,3,0.6667,0.7,7,482,6,9,2012
51,1,0,4,0.4394,0.44,13,194,4,11,2011
65,1,0,2,0.6515,0.7,20,196,28,5,2011
37,1,0,3,0.8636,0.92,18,362,29,7,2011
78,1,0,3,0.6061,0.66,4,7,25,8,2011
83,1,0,3,0.5758,0.62,23,80,26,8,2012
71,2,0,4,0.3333,0.34,6,148,20,11,2012
36,1,0,2,0.6212,0.64,12,559,12,5,2012
71,1,0,4,0.4242,0.42,4,5,26,10,2011
45,1,0,2,0.303,0.32,2,2,11,4,2012
47,1,0,4,0.4091,0.4,11,251,9,11,2012
24,1,0,3,0.697,0.82,16,392,27,6,2012
83,2,0,4,0.5152,0.54,11,238,25,10,2012
65,1,0,4,0.2576,0.24,2,2,6,11,2012
56,1,0,1,0.3333,0.32,3,20,7,1,2012
67,1,0,4,0.4394,0.44,3,5,6,10,2011
41,2,0,1,0.3182,0.28,2,3,14,2,2012
51,1,0,3,0.6667,0.74,7,398,2,7,2012
35,2,0,2,0.6667,0.76,15,145,20,4,2011
39,1,0,1,0.6212,0.66,14,174,18,3,2011
87,2,0,1,0.2576,0.22,22,36,1,2,2011
40,1,0,1,0.1818,0.2,8,195,5,1,2011
31,1,0,2,0.4848,0.5,16,402,5,4,2012
83,1,0,3,0.6061,0.66,4,9,2,8,2012
66,1,0,3,0.697,0.74,11,229,27,8,2012
50,1,0,4,0.4091,0.4,14,426,15,12,2012
62,1,0,2,0.7424,0.78,20,251,31,5,2011
78,2,0,3,0.5909,0.62,18,815,20,8,2012
67,1,0,3,0.4545,0.46,19,232,15,9,2011
65,1,0,3,0.6212,0.66,7,436,13,8,2012
88,3,0,4,0.5455,0.6,0,17,28,9,2012
56,1,0,4,0.3636,0.34,20,92,30,10,2011
40,1,0,2,0.6212,0.6,23,93,20,4,2011
45,1,0,4,0.4848,0.5,16,359,22,10,2011
94,1,0,4,0.5152,0.6,23,71,28,9,2011
74,1,0,3,0.6364,0.68,0,52,25,8,2011
83,1,0,2,0.5,0.52,22,117,18,5,2011
51,1,0,2,0.4545,0.46,1,46,11,5,2012
49,1,0,1,0.303,0.32,18,153,11,3,2011
59,1,0,3,0.4848,0.5,21,349,19,9,2012
69,2,0,4,0.4697,0.48,11,193,9,10,2012
77,1,1,4,0.5,0.52,22,112,12,11,2012
39,1,0,2,0.5152,0.54,13,318,10,5,2012
45,1,0,2,0.4848,0.5,13,106,22,3,2011
56,1,0,2,0.5303,0.56,8,171,20,5,2012
81,1,0,4,0.3636,0.36,23,25,2,10,2011
70,1,0,3,0.6818,0.72,6,24,30,7,2011
100,1,0,2,0.4848,0.5,5,6,22,5,2011
27,1,0,2,0.6667,0.76,15,164,15,6,2011
52,1,0,4,0.2727,0.3,9,224,1,12,2011
44,1,0,1,0.2121,0.22,23,39,28,12,2011
63,1,0,4,0.4848,0.5,6,37,29,9,2012
75,2,0,4,0.2879,0.3,8,441,7,12,2012
94,2,0,3,0.5606,0.64,5,10,14,8,2011
24,1,0,2,0.5303,0.56,17,738,13,4,2012
57,1,0,3,0.6818,0.74,8,349,8,8,2011
65,2,0,1,0.2424,0.24,1,18,5,2,2011
39,1,0,1,0.4848,0.5,20,170,7,1,2012
63,1,0,2,0.4545,0.46,2,10,29,4,2011
73,2,0,3,0.5909,0.62,23,46,19,8,2012
59,1,1,2,0.7727,0.8,18,383,28,5,2012
53,1,0,4,0.3182,0.32,22,102,2,12,2011
56,2,0,4,0.3333,0.34,15,249,20,12,2012
61,1,0,1,0.2727,0.28,22,17,25,12,2011
28,1,0,2,0.5455,0.58,15,255,9,4,2012
100,2,0,3,0.5152,0.54,5,31,21,9,2011
36,1,0,2,0.6212,0.66,14,615,12,5,2012
82,2,0,4,0.4242,0.42,0,21,3,12,2012
86,2,0,1,0.2273,0.2,20,132,9,1,2012
44,2,0,2,0.2576,0.26,21,51,26,3,2011
87,1,0,4,0.3636,0.34,9,228,2,11,2011
83,2,0,4,0.5758,0.64,13,162,13,10,2011
73,1,0,4,0.2576,0.26,19,350,27,11,2012
32,1,0,1,0.1818,0.22,17,176,8,2,2011
72,1,0,2,0.4697,0.48,7,318,11,5,2011
69,1,0,3,0.6061,0.64,9,176,12,9,2011
100,1,0,2,0.4848,0.5,4,6,16,5,2011
77,1,0,2,0.4697,0.48,5,38,6,6,2012
41,2,0,4,0.2576,0.26,11,204,25,11,2012
62,1,0,4,0.4242,0.42,15,296,4,12,2011
21,1,0,1,0.1515,0.2,13,73,21,1,2011
50,2,0,4,0.3485,0.36,17,446,28,10,2011
83,1,0,3,0.5606,0.6,5,8,20,8,2011
60,1,0,2,0.5455,0.58,6,181,14,6,2012
44,1,0,1,0.2879,0.24,22,41,15,2,2011
56,2,0,1,0.2727,0.26,13,93,25,1,2011
61,1,0,2,0.3182,0.32,23,53,2,4,2011
77,2,0,4,0.4848,0.5,12,162,21,11,2011
100,3,0,2,0.5152,0.54,22,45,24,4,2011
41,1,0,1,0.4394,0.44,17,241,13,3,2011
56,1,0,2,0.6212,0.6,2,5,16,6,2011
80,1,0,4,0.2727,0.22,4,3,2,12,2011
88,1,0,2,0.5455,0.6,9,167,23,5,2011
83,2,0,4,0.5152,0.54,23,135,25,10,2012
36,1,0,2,0.2727,0.28,20,57,27,3,2011
94,1,1,2,0.5606,0.64,1,79,30,5,2011
82,2,0,4,0.3939,0.38,19,126,1,10,2011
47,1,0,3,0.6212,0.64,16,457,20,9,2012
74,2,0,3,0.6667,0.7,9,327,7,8,2012
69,1,0,2,0.6061,0.64,8,531,25,5,2011
80,1,0,4,0.2727,0.22,7,352,30,11,2012
56,2,1,1,0.3333,0.32,11,90,21,2,2011
72,1,0,1,0.4545,0.46,9,301,8,3,2012
73,2,0,3,0.6061,0.64,9,209,15,9,2011
84,2,0,3,0.6667,0.7,0,80,7,8,2011
68,2,0,4,0.5,0.52,17,806,9,10,2012
93,3,0,2,0.2727,0.28,22,51,31,3,2011
36,1,0,1,0.2879,0.32,15,117,28,12,2011
46,1,0,1,0.1212,0.14,20,38,9,1,2011
41,1,0,3,0.7879,0.86,13,155,7,7,2011
74,2,1,3,0.6667,0.7,11,308,5,9,2011
51,1,0,1,0.2273,0.22,18,163,6,1,2011
60,1,0,4,0.2727,0.26,23,59,18,11,2011
69,1,0,1,0.2273,0.22,4,3,6,1,2012
45,1,0,3,0.8636,0.9,17,738,26,7,2012
68,1,0,3,0.5303,0.56,1,13,30,8,2011
54,1,0,3,0.6515,0.7,16,567,21,9,2012
71,1,0,4,0.3788,0.36,6,18,22,10,2011
100,2,0,3,0.5,0.6,21,200,21,9,2011
74,2,0,3,0.697,0.72,10,172,4,9,2012
33,1,0,3,0.6667,0.76,21,322,23,6,2012
42,1,0,4,0.2879,0.3,21,116,17,11,2011
38,1,0,3,0.8788,0.94,11,367,7,7,2012
66,1,0,1,0.3939,0.38,0,23,17,3,2011
94,1,0,4,0.4242,0.42,6,22,8,10,2011
93,1,0,4,0.2879,0.24,6,4,4,12,2011
82,2,0,1,0.2273,0.22,17,125,18,1,2011
60,2,0,3,0.6061,0.6,15,187,19,9,2011
82,1,0,4,0.4545,0.46,2,45,8,10,2011
75,2,0,1,0.2576,0.24,8,205,30,12,2011
74,1,0,2,0.6667,0.7,8,634,29,5,2012
73,1,0,3,0.5303,0.56,2,30,14,9,2012
28,1,0,4,0.3939,0.38,20,245,8,11,2012
44,2,0,1,0.2576,0.26,13,203,31,12,2012
43,1,0,1,0.1667,0.18,21,69,14,1,2012
75,1,0,1,0.2576,0.2,6,17,24,12,2012
93,2,0,1,0.2727,0.22,0,3,19,1,2011
43,1,0,2,0.5303,0.56,19,267,7,5,2011
89,2,0,4,0.5758,0.64,9,359,4,10,2012
49,2,0,2,0.3485,0.32,3,4,30,3,2011
28,1,0,1,0.3485,0.36,15,353,26,2,2012
46,1,0,4,0.6212,0.6,15,620,6,10,2012
77,1,0,3,0.5152,0.54,8,683,17,9,2012
52,1,0,1,0.2727,0.26,1,4,9,3,2011
65,2,0,3,0.6212,0.66,21,213,14,9,2011
69,2,0,3,0.6212,0.66,7,492,15,8,2012
61,1,0,2,0.6364,0.68,16,273,22,5,2011
49,2,0,2,0.303,0.3,6,48,30,3,2011
52,1,0,3,0.7424,0.8,17,730,10,8,2012
79,3,0,3,0.697,0.72,14,457,2,9,2012
40,1,0,2,0.3333,0.36,23,62,10,4,2012
94,3,0,2,0.5,0.52,12,183,24,3,2012
56,2,0,1,0.2576,0.28,14,128,5,3,2012
61,1,0,2,0.6061,0.62,21,227,21,5,2011
64,2,0,4,0.2273,0.22,5,41,6,11,2012
35,1,1,3,0.8182,0.9,13,499,4,7,2012
64,2,0,1,0.1818,0.16,0,8,1,2,2011
61,1,0,3,0.6515,0.7,12,257,3,9,2011
75,2,0,4,0.2727,0.28,6,84,7,12,2012
82,3,0,2,0.4545,0.46,7,225,26,4,2012
50,1,0,4,0.6212,0.66,16,470,9,10,2011
59,1,0,4,0.4545,0.46,0,30,14,11,2011
66,1,0,2,0.7273,0.76,14,564,26,5,2012
35,1,0,1,0.2273,0.26,12,134,30,1,2012
56,2,0,1,0.303,0.3,8,241,14,3,2011
73,1,0,4,0.5303,0.56,21,196,14,10,2012
17,1,0,3,0.697,0.82,16,427,1,7,2011
74,2,0,3,0.6212,0.66,9,270,19,8,2012
81,2,0,4,0.303,0.26,5,26,14,12,2011
35,1,1,3,0.8485,0.92,15,454,4,7,2012
82,1,0,4,0.4697,0.48,6,173,24,10,2012
66,1,0,2,0.6818,0.72,7,267,10,6,2011
87,1,0,4,0.303,0.32,5,7,2,10,2011
93,3,0,2,0.303,0.3,21,28,22,4,2011
49,1,0,1,0.303,0.32,19,94,26,2,2011
70,1,1,3,0.697,0.74,15,449,3,9,2012
88,2,0,2,0.5,0.52,15,198,13,5,2011
89,2,0,3,0.5909,0.66,22,168,11,8,2012
62,1,0,2,0.6818,0.72,11,404,18,6,2011
38,1,0,2,0.6212,0.6,15,160,7,4,2011
55,2,0,1,0.1515,0.16,2,3,11,1,2011
50,1,0,1,0.3939,0.38,16,181,23,12,2011
81,3,0,2,0.2879,0.3,5,14,23,4,2012
88,3,0,3,0.5303,0.56,16,114,8,9,2012
88,2,0,2,0.5152,0.54,9,216,19,5,2011
68,2,0,3,0.5,0.52,11,367,17,9,2011
79,1,0,3,0.6364,0.68,5,10,1,7,2012
54,2,0,3,0.6667,0.72,9,187,27,6,2011
65,1,0,4,0.6212,0.66,19,559,27,9,2012
36,1,0,2,0.7424,0.84,16,508,10,6,2012
88,3,0,4,0.4394,0.44,21,46,28,10,2012
62,1,0,2,0.6818,0.72,21,253,10,6,2012
56,1,0,2,0.6212,0.64,10,216,15,6,2012
27,1,0,2,0.6667,0.76,18,723,8,6,2012
61,2,0,2,0.6515,0.7,15,159,16,6,2011
53,1,0,1,0.3485,0.32,23,19,14,3,2011
57,2,0,3,0.6667,0.72,20,261,14,9,2011
69,1,0,4,0.2273,0.16,8,72,11,12,2011
73,1,0,2,0.5909,0.6,6,178,31,5,2012
37,1,0,3,0.7879,0.88,14,176,21,6,2012
94,1,0,2,0.4242,0.42,2,2,20,4,2011
87,2,0,2,0.3182,0.34,12,87,23,3,2011
28,1,0,1,0.2576,0.28,12,118,13,2,2012
37,1,0,2,0.5303,0.56,15,603,29,4,2012
53,1,0,1,0.2879,0.32,1,24,20,3,2011
74,1,0,2,0.6667,0.7,22,204,26,5,2012
81,1,0,2,0.5,0.52,8,201,21,4,2012
75,1,0,1,0.1818,0.2,6,76,9,2,2012
75,1,0,4,0.3182,0.3,5,3,26,11,2011
87,2,0,2,0.3939,0.38,23,57,9,4,2011
55,2,0,1,0.2121,0.18,12,68,31,1,2011
42,1,0,1,0.1515,0.12,23,34,10,2,2011
56,1,0,4,0.6212,0.6,15,268,3,12,2012
62,2,0,2,0.4394,0.44,7,314,10,5,2011
72,2,0,1,0.4545,0.46,13,94,1,1,2011
30,1,0,3,0.7273,0.84,13,180,27,7,2011
78,1,0,2,0.6061,0.66,0,119,12,6,2011
47,1,0,3,0.6364,0.68,9,224,14,7,2011
39,2,0,2,0.6364,0.7,15,502,20,5,2012
48,1,0,2,0.6667,0.74,18,796,30,5,2012
48,1,0,3,0.6667,0.74,0,114,29,6,2012
72,1,0,4,0.4697,0.48,0,89,8,10,2011
20,1,0,2,0.4697,0.48,22,182,7,4,2012
81,3,0,2,0.3333,0.36,0,6,23,4,2012
88,1,0,3,0.5455,0.6,5,6,22,7,2012
47,2,0,4,0.4545,0.46,17,184,26,11,2011
56,1,0,1,0.2727,0.26,22,102,13,2,2012
34,1,0,3,0.7576,0.86,11,217,3,7,2012
88,1,0,2,0.5455,0.58,6,112,6,6,2011
88,2,0,2,0.4848,0.5,5,39,21,3,2012
49,1,0,1,0.3333,0.32,5,15,7,2,2012
68,1,0,3,0.5303,0.56,23,127,12,9,2012
52,2,0,2,0.697,0.76,11,151,7,6,2011
62,1,0,4,0.4091,0.4,23,117,21,10,2011
37,1,0,2,0.6364,0.7,13,315,7,6,2012
61,2,0,4,0.2879,0.3,8,646,15,11,2012
18,1,0,2,0.5152,0.54,18,517,7,4,2012
53,1,0,2,0.6212,0.6,19,492,20,4,2012
60,1,1,4,0.6061,0.6,13,420,12,11,2012
77,1,0,2,0.5152,0.54,9,331,21,4,2012
61,2,0,2,0.6061,0.62,5,6,5,6,2011
61,1,0,1,0.3182,0.3,19,111,31,1,2011
45,1,0,4,0.2879,0.32,12,283,10,12,2011
83,2,0,3,0.5606,0.6,1,33,21,8,2012
73,1,0,2,0.6061,0.64,21,206,20,6,2011
71,3,0,4,0.303,0.34,5,41,11,12,2012
65,1,0,3,0.6515,0.7,4,10,29,6,2012
71,2,0,4,0.3485,0.36,14,215,7,12,2012
77,2,0,4,0.4697,0.48,22,162,9,10,2012
65,2,0,3,0.6212,0.66,1,24,18,8,2011
46,1,0,1,0.0758,0.1,23,18,3,1,2012
78,1,0,2,0.6061,0.66,6,104,10,6,2011
94,2,0,1,0.4848,0.5,20,167,21,12,2011
44,1,0,1,0.2273,0.26,15,127,19,1,2012
56,1,0,3,0.8485,0.86,16,239,11,7,2011
40,1,0,1,0.197,0.2,11,178,14,1,2012
87,2,0,1,0.3182,0.28,1,4,8,2,2011
47,1,0,1,0.1818,0.2,14,44,12,1,2011
66,1,0,2,0.303,0.32,0,23,12,4,2012
72,3,0,2,0.5,0.52,2,8,5,6,2012
78,1,0,3,0.6061,0.66,3,7,22,6,2011
64,1,0,1,0.2121,0.22,7,110,2,3,2011
83,1,0,3,0.6061,0.66,4,5,29,6,2011
77,2,0,4,0.5,0.52,22,137,18,10,2011
68,1,0,4,0.5152,0.54,1,46,5,10,2012
87,1,0,1,0.2576,0.26,1,37,27,2,2011
82,2,0,4,0.3939,0.38,15,338,16,12,2012
44,1,0,1,0.2424,0.26,23,40,21,12,2012
41,1,0,2,0.6212,0.62,22,117,20,4,2011
67,1,0,4,0.4545,0.46,1,18,24,9,2012
88,3,0,2,0.4545,0.46,9,201,26,4,2012
49,1,0,1,0.1061,0.06,7,99,9,2,2011
38,1,0,2,0.4242,0.42,9,408,3,4,2012
77,1,0,3,0.4848,0.5,3,7,12,9,2012
87,1,0,4,0.3939,0.38,23,66,9,11,2011
88,1,0,2,0.5303,0.56,6,160,23,5,2012
63,2,0,1,0.1515,0.14,5,7,4,2,2011
94,2,0,4,0.4545,0.46,0,31,16,11,2011
43,1,0,3,0.7273,0.8,10,113,10,8,2011
89,1,1,3,0.5909,0.66,18,123,5,9,2011
48,2,0,1,0.2273,0.26,5,2,30,12,2012
66,1,0,1,0.3333,0.34,3,2,17,3,2011
74,2,0,3,0.7121,0.74,13,153,13,8,2011
66,1,0,4,0.3485,0.36,19,210,18,11,2012
76,1,0,4,0.3636,0.34,21,199,9,11,2012
76,1,0,4,0.3485,0.36,16,375,7,12,2012
78,2,0,2,0.5758,0.6,6,144,30,5,2012
48,1,0,3,0.6667,0.74,20,389,13,7,2012
